Name,Address,City,State,Zip,Discount,Discount_Detail,Link,Latitude,Longitude,Precision,Category1,Category2,Category3,Category4,
The Fishermans Restaurant & Bar,1301 Alaskan Way Pier 57,Seattle,WA,98101,2-for-1 Lunch,$15.00 VALUE,http://seattle.entertainment.com/discount/The_Fishermans_Restaurant__Bar/coupon/00315045003RED01273208EPC00497999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.605884,-122.340521,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bars,401 NE Northlake Way,Seattle,WA,98105,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bars/coupon/00316542003RED01010101EPC00496999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.653773,-122.324462,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,1001 Alaskan Way,Seattle,WA,98104,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316543003RED00933695EPC00497999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.603812,-122.338556,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bars,6000 15th Ave N W (Ballard),Seattle,WA,98107,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bars/coupon/00316542003RED01340182EPC00496999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.67248,-122.376165,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,416 NE Northgate Way,Seattle,WA,98125,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316543003RED00933696EPC00497999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.708743,-122.3244,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,13448 Aurora Ave. N.,Seattle,WA,98133,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316542003RED00933682EPC00496999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.726464,-122.344843,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,1505 156th Ave. N.E.,Bellevue,WA,98007,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316542003RED00933681EPC00496999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.623421,-122.132492,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,1201 Lake Washington Blvd.,Renton,WA,98055,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316542003RED00933689EPC00496999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.503585,-122.199714,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,125 SW 148th Street,Burien,WA,98166,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316542003RED00933686EPC00496999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.470291,-122.334281,address,Dining,American,Seafood,Casual Dining,
Skipper's Seafood & Chowder,901 SW 148th St.,Burien,WA,98166,2-for-1 Discount,ONE CUP OF OUR AWARD WINNING CHOWDER,http://seattle.entertainment.com/discount/Skippers_Seafood__Chowder/coupon/00313081003RED01126257EPC00496999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.470342,-122.345888,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,9910 Edmonds Way,Edmonds,WA,98020,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316543003RED00933690EPC00497999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.790391,-122.365657,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bars,2600 Southcenter Mall,Tukwila,WA,98188,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bars/coupon/00316543003RED01126282EPC00497999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.45824,-122.255289,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,2580 S 156th St,SeaTac,WA,98188,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316543003RED00933707EPC00497999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.46392,-122.299213,address,Dining,American,Seafood,Casual Dining,
Skipper's Seafood & Chowder,17808 108th Ave. SE,Renton,WA,98055,2-for-1 Discount,FREE TWO PIECE FISH,http://seattle.entertainment.com/discount/Skippers_Seafood__Chowder/coupon/00313078003RED01126263EPC00496999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.442836,-122.19675,address,Dining,American,Seafood,Casual Dining,
Skipper's Seafood & Chowder,10725 Silverdale Way NW,Silverdale,WA,98383,2-for-1 Discount,ONE CUP OF OUR AWARD WINNING CHOWDER,http://seattle.entertainment.com/discount/Skippers_Seafood__Chowder/coupon/00313081003RED01126264EPC00496999PRD00000001.html;jsessionid=xl10J6qj8Ko6gMYx0qq5Kw**.register2,47.660632,-122.685571,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bars,14912 Hwy. 99,Lynnwood,WA,98036,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bars/coupon/00316543003RED01205499EPC00497999PRD00000001.html,47.863138,-122.283177,address,Dining,American,Seafood,Casual Dining,
Skipper's Seafood & Chowder,12811 - 4th Ave. W,Everett,WA,98204,2-for-1 Discount,ONE CUP OF OUR AWARD WINNING CHOWDER,http://seattle.entertainment.com/discount/Skippers_Seafood__Chowder/coupon/00313081003RED01126258EPC00496999PRD00000001.html,47.881529,-122.238608,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,25405 104th S.E.,Kent,WA,98030,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316543003RED00933688EPC00497999PRD00000001.html,47.374084,-122.202569,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,1402 SE Everett Mall Way,Everett,WA,98208,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316543003RED00933697EPC00497999PRD00000001.html,47.91212,-122.21383,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,2004 S. 320th St.,Federal Way,WA,98003,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316542003RED00933687EPC00496999PRD00000001.html,47.315253,-122.30822,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,710 Front St.,Mukilteo,WA,98275,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316542003RED00933694EPC00496999PRD00000001.html,47.948947,-122.303956,address,Dining,American,Seafood,Casual Dining,
Skipper's Seafood & Chowder,1202 Auburn Way N.,Auburn,WA,98002,2-for-1 Discount,ONE CUP OF OUR AWARD WINNING CHOWDER,http://seattle.entertainment.com/discount/Skippers_Seafood__Chowder/coupon/00313081003RED01126256EPC00496999PRD00000001.html,47.318694,-122.221304,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,1520 - 41st St.,Everett,WA,98201,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316543003RED00933691EPC00497999PRD00000001.html,47.963171,-122.208977,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,1820 S. Mildred,Tacoma,WA,98465,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316543003RED00933685EPC00497999PRD00000001.html,47.243774,-122.526474,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,4502 S. Steele,Tacoma,WA,98409,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316543003RED00933700EPC00497999PRD00000001.html,47.217893,-122.467853,address,Dining,American,Seafood,Casual Dining,
Ivar's Seafood Bar,10114 S. Tacoma Way,Tacoma,WA,98499,Special Value,$5.00 VALUE,http://seattle.entertainment.com/discount/Ivars_Seafood_Bar/coupon/00316542003RED00933684EPC00496999PRD00000001.html,47.165149,-122.483808,address,Dining,American,Seafood,Casual Dining,
Skipper's Seafood & Chowder,3932 S. Meridian,Puyallup,WA,98373,2-for-1 Discount,FREE TWO PIECE FISH,http://seattle.entertainment.com/discount/Skippers_Seafood__Chowder/coupon/00313078003RED01126262EPC00496999PRD00000001.html,47.153929,-122.293094,address,Dining,American,Seafood,Casual Dining,
Skipper's Seafood & Chowder,13721 Pacific Ave.,Tacoma,WA,98444,2-for-1 Discount,FREE TWO PIECE FISH,http://seattle.entertainment.com/discount/Skippers_Seafood__Chowder/coupon/00313078003RED01126268EPC00496999PRD00000001.html,47.132192,-122.434488,address,Dining,American,Seafood,Casual Dining,
Beau Legs Fish N Chips,8765 Tallon Lane E.,Lacey,WA,98516,10% Off Discount,10% OFF,http://seattle.entertainment.com/discount/Beau_Legs_Fish_N_Chips/coupon/05005937050RED01381056EPC00497999PRD00000056.html,47.059474,-122.754003,address,Dining,American,Seafood,Casual Dining,
Skipper's Seafood & Chowder,3812 Pacific Ave. SE,Lacey,WA,98503,2-for-1 Discount,ONE CUP OF OUR AWARD WINNING CHOWDER,http://seattle.entertainment.com/discount/Skippers_Seafood__Chowder/coupon/00313081003RED01126260EPC00496999PRD00000001.html,47.040232,-122.837659,address,Dining,American,Seafood,Casual Dining,
China Harbor,2040 Westlake Ave. N.,Seattle,WA,98109,2-for-1 Lunch or Dinner,UP TO $13.00 VALUE,http://seattle.entertainment.com/discount/China_Harbor/coupon/00312793003RED01104847EPC00499999PRD00000001.html,47.637263,-122.340329,address,Dining,Asian,,,
Asian Breeze,366 Roy Street,Seattle,WA,98109,2-for-1 Lunch or Dinner,$12.00 VALUE,http://seattle.entertainment.com/discount/Asian_Breeze/coupon/00314990003RED01271296EPC00499999PRD00000001.html,47.625578,-122.349719,address,Dining,Asian,,,
Jup Jup Jup Thai Restaurant,209 Broadway E.,Seattle,WA,98102,2-for-1 Lunch or Dinner,UP TO $13.00 VALUE,http://seattle.entertainment.com/discount/Jup_Jup_Jup_Thai_Restaurant/coupon/00316269003RED01339989EPC00496999PRD00000001.html,47.620101,-122.321034,address,Dining,Asian,,,
China First,4237 University Way NE,Seattle,WA,98105,2-for-1 Discount,UP TO $11.00 VALUE,http://seattle.entertainment.com/discount/China_First/coupon/00312810003RED01104871EPC00496999PRD00000001.html,47.658907,-122.313369,address,Dining,Asian,,,
