ResourceImportedEventcV,targetCulture,resourceIdentity,sourceRevision,importTimestamp,tenantName,subtenantName,projectName,iD,terminate,exportTimestamp,ResourceExportedEventcV,ExportedSourceRevision,TotalMinutesTaken
xyckdv/SLUWFxNaL35ZLCQ.2.1,English,329293,1,9/29/2020 1:56:14 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,9184.51306379167
THmbPJ1qFkGzzrzIP52iJA.2.1,English,329293,1,10/2/2020 6:15:13 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3885.53824759167
C8hvbRqPGkq5n/Dk/yr3mA.2.1,English,329293,1,10/2/2020 8:34:56 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,4465.810119345
AY4F02uZdkaeMJIRor9vfQ.2.1,English,329293,1,10/2/2020 6:35:22 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,4585.37310341167
keIhYoMm0UigPG35AvNR3Q.2.1,English,329293,1,10/2/2020 4:36:07 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,4704.62973586833
QI9pLk/27UO6M6QCKMZZ3g.2.1,English,329293,1,10/2/2020 1:24:50 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,4895.911921285
HahMLaQ4LkaurQuh4AdlGw.2.1,English,329293,1,10/2/2020 2:48:06 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,4092.63948089667
xDDhoGxloEmuPMz8oEO6mQ.2.1,English,329293,1,10/2/2020 5:35:57 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,4644.80203097
qhKA/197K0a+7eZhoS/dIw.2.1,English,329293,1,10/2/2020 4:16:47 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,4003.96697921833
+xJKlzq0SUqSLwa2BtYxTw.2.1,English,329293,1,10/2/2020 11:16:44 PM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,3584.01283826667
0Fv0SzWx302Og/3AuQx8KQ.2.1,English,329293,1,10/2/2020 5:05:34 AM,MockTenant,default,DefaultA,1English329293,True,10/5/2020 11:00:45 AM,5p/OrfUHFUaA+ADI+n3gTg.2.1.2,1,4675.18088151167
